region,median_rent,median_deposit,transaction_count
가락동,62,1000,28
가산동,42,300,39
가회동,69,1000,1
갈월동,80,2000,8
갈현동,55,1000,39
개포동,55,1000,25
거여동,42,1000,20
경운동,78,1500,2
계동,85,2000,1
공덕동,60,1000,18
공릉동,45,1000,238
광장동,40,500,6
광희동2가,65,500,3
구기동,55,500,3
구산동,40,1000,15
구수동,60,650,2
구의동,60,1000,148
군자동,55,500,159
궁정동,43,2000,1
금호동1가,60,1000,3
금호동2가,60,1000,3
금호동3가,50,500,6
금호동4가,50,1000,3
길음동,44,1000,8
낙원동,50,500,3
남가좌동,48,500,113
남산동2가,78,1000,2
남영동,70,750,2
남현동,60,1000,35
노고산동,65,1000,70
노량진동,47,300,139
녹번동,46,1000,45
논현동,81,1000,157
누상동,80,1000,2
능동,60,1000,66
답십리동,50,1000,41
당산동,78,1500,2
당산동1가,60,1000,5
당산동2가,65,1000,3
당산동3가,50,1000,7
당산동4가,50,1000,3
당산동5가,90,2000,1
당산동6가,54,1000,8
당인동,150,500,2
대림동,45,500,280
대방동,50,1000,35
대신동,56,500,49
대조동,50,1000,32
대치동,70,1000,65
대현동,60,500,23
대흥동,60,1000,50
도곡동,62,1000,14
도림동,45,500,58
도봉동,45,700,47
도선동,53,1000,7
도화동,66,1000,19
독산동,45,500,241
돈암동,40,500,3
동교동,64,1000,26
동빙고동,80,1000,3
동선동1가,45,250,2
동선동2가,58,1000,16
동선동3가,65,1000,24
동선동4가,62,2000,9
동선동5가,55,1000,8
동소문동1가,65,1500,7
동소문동4가,58,1150,2
동소문동5가,47,300,3
동소문동6가,53,500,3
동숭동,50,1000,8
동자동,50,500,9
마장동,60,1000,59
마천동,40,500,34
마포동,50,1000,1
망우동,45,500,97
망원동,70,1000,64
면목동,42,1000,268
명륜1가,55,500,30
명륜2가,58,1000,26
명륜3가,55,500,110
명륜4가,70,1000,9
무학동,68,2000,1
묵동,45,850,86
묵정동,52,500,6
문래동2가,50,500,1
문정동,69,1250,12
미근동,45,500,3
미아동,43,500,191
반포동,74,1000,72
방배동,60,1000,65
방이동,70,1000,26
방학동,40,500,81
번동,45,500,75
보광동,52,750,12
보문동2가,60,1000,11
보문동3가,68,1500,2
보문동4가,55,1000,1
보문동5가,68,1000,6
보문동6가,50,750,8
본동,50,500,15
봉원동,53,300,1
봉천동,53,1000,474
부암동,48,1500,2
북가좌동,50,800,37
북아현동,60,1000,31
불광동,50,1000,65
사근동,50,500,52
사당동,54,1000,201
사직동,48,750,2
산천동,80,500,1
삼선동1가,56,1000,10
삼선동2가,55,500,8
삼선동3가,60,500,3
삼선동4가,55,1000,5
삼선동5가,51,500,6
삼성동,82,1000,14
삼전동,60,1000,39
삼청동,53,1250,2
상계동,40,500,84
상도1동,54,1000,86
상도동,50,1000,303
상봉동,50,1000,57
상수동,60,1000,17
상암동,47,1000,5
상월곡동,50,1000,35
서계동,70,2000,7
서교동,75,1000,88
서초동,70,1000,37
석관동,45,500,91
석촌동,74,1000,40
성북동,60,1000,13
성북동1가,70,1000,7
성산동,58,1000,54
성수동1가,55,1000,44
성수동2가,52,500,29
세곡동,50,1000,2
송정동,50,500,54
송파동,70,1000,34
수색동,55,750,6
수유동,45,500,248
숭인동,50,500,24
시흥동,40,500,148
신공덕동,52,1000,8
신길동,44,500,218
신내동,45,500,9
신당동,55,1000,82
신대방동,44,500,119
신림동,48,500,937
신문로2가,50,1000,1
신사동,55,1000,75
신설동,47,500,7
신수동,55,1000,45
신영동,40,500,3
신원동,42,1000,1
신창동,46,1750,2
신촌동,57,800,11
쌍림동,55,1000,3
쌍문동,45,500,68
아현동,55,750,4
안암동1가,58,1000,24
안암동2가,54,1000,22
안암동3가,50,1000,11
안암동4가,55,500,3
안암동5가,59,1000,96
양재동,60,1000,55
양평동1가,55,1500,6
양평동2가,42,250,2
양평동3가,65,2000,3
양평동4가,72,1000,6
양평동5가,85,2000,1
역삼동,82,1000,140
역촌동,50,1000,42
연남동,70,1000,65
연지동,65,500,1
연희동,60,1000,224
염리동,54,500,32
영등포동,50,750,22
영등포동1가,60,1000,1
영등포동2가,70,1000,1
영등포동5가,43,500,2
영등포동6가,60,1000,3
영등포동7가,62,1000,4
영천동,45,500,1
예장동,50,500,5
오금동,40,1000,14
옥수동,65,1000,3
옥인동,120,1000,1
옥천동,58,1000,7
용강동,71,1000,4
용답동,50,500,44
용두동,50,1000,82
용문동,75,1000,6
용산동2가,60,500,23
용산동3가,50,1000,1
우면동,71,1000,4
우이동,43,300,22
운니동,88,1000,3
원남동,63,500,3
원서동,65,1000,1
원효로1가,55,1000,7
원효로2가,65,1000,5
원효로3가,62,1000,2
원효로4가,60,1000,1
월계동,45,500,33
율현동,110,500,3
응봉동,70,1000,1
응암동,50,1000,91
이문동,55,500,235
이태원동,100,1000,49
이화동,70,1000,8
익선동,57,750,4
일원동,50,1000,30
자곡동,75,600,2
자양동,58,1000,298
잠실동,56,1000,42
잠원동,70,1000,31
장안동,48,500,52
장위동,35,650,30
장충동1가,64,1000,8
장충동2가,50,500,8
전농동,50,1000,63
정릉동,53,1000,111
제기동,56,500,136
종로6가,120,2000,1
종암동,52,500,87
주성동,50,1000,1
중계동,44,750,6
중곡동,55,1000,186
중동,55,1000,4
중림동,50,500,5
중화동,50,1000,95
증산동,45,500,2
창동,44,500,64
창신동,48,500,48
창전동,61,1000,31
창천동,63,500,275
천연동,60,1000,5
청담동,80,1000,23
청량리동,40,500,29
청파동1가,65,1000,11
청파동2가,60,1000,13
청파동3가,63,1000,24
충신동,45,1000,5
충정로2가,58,1000,2
충정로3가,50,1000,6
통인동,50,1500,1
평창동,60,1250,2
풍납동,50,1000,50
필동2가,90,1000,3
필동3가,52,750,6
필운동,40,1000,1
하계동,45,500,17
하왕십리동,52,1000,20
하월곡동,50,1000,80
한강로3가,70,1000,4
한남동,92,1000,14
합동,80,2000,1
합정동,70,1000,29
행당동,55,750,68
행촌동,80,1000,3
현석동,55,1000,3
혜화동,60,1000,11
홍은동,48,500,80
홍익동,60,1000,8
홍제동,50,1000,43
홍지동,50,500,3
화양동,60,500,387
황학동,50,600,11
회기동,55,500,145
회현동1가,75,1500,5
회현동2가,80,1000,3
효창동,65,1000,4
후암동,62,1000,32
휘경동,55,500,370
흑석동,55,500,100
